,Photographer,Country,Story
24,Jonas Kakó,Germany,"Jonas Kakó (b. 1992) is a documentary photographer based in Hannover, Germany.Through his photographic practice, Kakó looks at the effects of the climate crisis, focusing on the individual fates of people who are already suffering from the consequences of global warming and whose existence is threatened."
25,Carlos Barria,Argentina,"ChileCarlos Barria is an Argentinian-Chilean senior photographer at Reuters, based in California."
26,Cristopher Rogel Blanquet,Mexico,"Cristopher Rogel Blanquet (b. 1984) is a documentary photographer and journalist whose work specializes on coverage of social conflict, torture, migration, human rights, vulnerable groups and natural disasters. He believes that photography is not only a powerful medium to tell other people's stories, but a window to communicate what he sees through the eyes of others.Often focusing on issues in his native Mexico, his work includes reports on self-defense groups in Michoacán, the enforced disappearance of 43 students in Ayotzinapa, and children working in the poppy fields of the Guerrero mountains. He has also documented the Syrian war refugees and the Ukrainian war."
27,Ashley Peña,United States,"Ashley Peña (b. 2000) is a Dominican-American artist originally from Maryland, United States, and has lived and worked in New York as an image-maker since 2019. She is currently studying to obtain her Bachelor of Fine Arts at New York University, Tisch School of the Arts.Known for being up-close and intimate, Peña uses her lens to document and tell stories through her images. With a primary focus on subjects across the diaspora, she explores what vulnerability looks like privately versus publicly. Her work also centers on exhibiting relationships and love within the community while also communicating the nuances of Black culture for a sense of familiarity and comfort – to have people in her community see themselves within the images and outside of Eurocentric standards of beauty, being seen as worthy, desirable and sacred.World Press Photo Involvement:2023 World Press Photo Contest winnerAshley Peña on Social Media:"
28,FabiolaFerrero,Venezuela,"ColombiaFabiola Ferrero (b. 1991) is a journalist and photographer born in Caracas, Venezuela."
29,Alessandro Cinque,Italy,"Alessandro Cinque (b. 1988) is a photojournalist based in Lima, Peru, whose work explores environmental and socio-political issues in Latin America, particularly the devastating impact of mining on Indigenous Quechua communities and their lands.Through his work, Cinque documents environmental contamination and public health concerns among Indigenous communities living along Peru’s mining corridor, and has committed to photographing the effects of the pollution that permeates the crops, livestock, and homes of the people residing near mining sites."
30,Cesar Dezfuli,Spain,"IranCesar Dezfuli (b. 1991), born in Madrid, Spain, is a journalist and documentary photographer whose work often explores themes related to migration, identity, and human rights."
31,Johanna Alarcón,Ecuador,"Johanna Alarcón (b. 1992) is a freelance photojournalist and visual storyteller based in Ecuador. Her work focuses on social justice, human rights, identity and gender related issues.Alarcón is a National Geographic Explorer and member of Ayün Fotógrafas, Fluxus Foto, Visura.Co, Fotoféminas, Women Photograph and Diversify Photo. She is an author of Cimarrona: Soy Negra porque el sol me miró KWY published book (2022)."
32,Mauk Kham Wah,Myanmar,"Mauk Kham Wah is a photographer, filmmaker and activist from Myanmar.Following the military coup in Myanmar on 1 February 2021, Mauk Kham Wah spent a year alongside the young Karenni men and women who joined the resistance against the Burmese military dictatorship, where he witnessed fighting, comradeship and grief.World Press Photo Involvement:2023 World Press Photo Contest winner"
33,HannahReyes Morales,Philippines,"Hannah Reyes Morales is a photographer and photojournalist from the Philippines who focuses on bringing historical memory and current events home, by looking at how they shape daily life.Her work has been published in The New York Times, National Geographic Magazine, and The Washington Post, among others. She is the recipient of the Tim Hetherington Visionary Award and the ICP Infinity Award for Documentary Practice and Visual Journalism. She was commissioned for the Nobel Peace Prize exhibition in 2021."
34,Kimberly dela Cruz,Philippines,"Kimberly dela Cruz is an independent photographer and journalist based in the Philippines.While studying journalism, she became a student activist and started carrying her camera during protests. She began her career as a photo correspondent for the Philippine Daily Inquirer in 2013 before transitioning to documentary photography and working for different publications."
35,Musuk Nolte,Peru,"MexicoMusuk Nolte is a photographer, documentalist and editor. His work straddles documentary and artistic photography to approach social issues, such as memory and environmental depredation. Throughout his career, he has often worked with communities and cultures from the Andean and Amazonian regions, integrating their different cosmovisions, and the history of violence they have faced, into his images."
36,Simone Tramonte,Italy,"Simone Tramonte is a photographer whose work focuses on documenting social and environmental contemporary issues. His interest focuses on analyzing the relationship between people and the environment and aims to document how innovative technologies can shape them towards a more sustainable future.After obtaining a degree in economics, he decided to change career and pursue photography, starting out as a freelance photographer working on a combination of self-produced projects and assignments."
37,Alkis Konstantinidis,Greece,"Alkis Konstantinidis (b. 1984) is a photojournalist based in Athens, Greece.Starting his career as a freelancer in 2009, Konstantinidis joined Reuters in 2014 in Greece, where he covered the country's deep economic crisis and subsequently the mass exodus of refugees to Europe. In 2016, he was part of the Pulitzer Prize winning team for breaking news photography for coverage of Europe's refugee crisis, and in 2019, for coverage of the Mexican migrant caravan."
38,Anush Babajanyan,Armenia,"Anush Babajanyan is a photographer whose work focuses on social narratives and personal stories. She is a member of VII Photo Agency and is a National Geographic Explorer.Babajanyan has photographed in Nagorno-Karabakh for over six years, compiling the photography in her book A Troubled Home. Alongside working in the South Caucasus region, Babajanyan photographs in Central Asia, where she has been working on environmental stories."
39,Mads Nissen,Denmark,"Mads Nissen (b. 1979) is a photographer based in Copenhagen, Denmark.For Nissen, photography is all about empathy - creating understanding and intimacy while confronting contemporary social issues such as inequality, human rights violations, and our destructive relationship with nature."
40,Maya Levin,United States,"Maya Levin is an independent California born photographer.Levin has covered the Egyptian revolution, the Syrian refugee crisis on the Turkey border, and daily life in Israel and the Palestinian territories since 2004."
41,M'hammed Kilito,Morocco,"M'hammed Kilito (1981) is a documentary photographer and a National Geographic Explorer based in Casablanca, Morocco. His practice focuses on the relationship between groups or individuals and the environment in which they live. His works capture narratives that facilitate an understanding of this relationship, covering issues related to cultural identity, the sociology of work, and climate change.Currently, Kilito is completing the two-year VII Mentor Program. He is the recipient of the Contemporary Artist Prize by François Schneider Foundation, the National Geographic Society Explorer Grant and Emergency Fund for Journalists, the CAP Prize, the National Photographic Commission ""Regards du Grand Paris"", the first prize of Encontros da Imagem, the Visura Grant for Freelance Visual Journalists and the Grand Prize of Kranj Photo Festival, and was shortlisted for Leica Oskar Barnack Award"
